command	category	risk	mutates	dependencies	description
vrun-list-head.sh	runs	read-only	no	bash,find,sort,head,awk	Top N newest run dirs.
vrun-latest-summary.sh	runs	read-only	no	bash,find	One-line artifact presence summary for newest run.
vrun-summary.sh	runs	read-only	no	bash,find	Summarize one run directory.
vrun-inspect.sh	runs	read-only	no	bash,find,sed	Show key run artifacts together.
vrun-artifacts.sh	runs	read-only	no	bash,find,sort	List artifact files per run.
vrun-files.sh	runs	read-only	no	bash,find,sort,head	List run artifact files.
vrun-kinds.sh	runs	read-only	no	bash,find,sort	Show artifact types present in each run.
vrun-errors.sh	runs	read-only	no	bash,rg|grep	Grep errors/failures in run artifacts.
vrun-timeline.sh	runs	read-only	no	bash,find,sort	Timeline from a run's file timestamps.
vrun-provenance.sh	runs	read-only	no	bash,find,sort	Provenance hints from run filenames/timestamps.
vrun-memory.sh	runs	read-only	no	bash,find,sed	Inspect run memory artifacts.
vrun-subagents.sh	runs	read-only	no	bash,find,sed	Inspect run subagent metadata.
vrun-verification.sh	runs	read-only	no	bash,find,sed	Inspect verification output.
vrun-search.sh	runs	read-only	no	bash,rg|grep	Search across run artifacts.
vrun-failure-cluster.sh	runs	read-only	no	bash,rg|grep,sort,uniq	Cluster run failures by error signature.
vsubagents.sh	subagents	read-only	no	bash,subagents_list	List subagent tasks.
vsubagents-summary.sh	subagents	read-only	no	bash,subagents_list	Summarize subagent state.
vsubagent-show.sh	subagents	read-only	no	bash,subagents_show	Show one subagent task.
vsubagent-logs.sh	subagents	read-only	no	bash,find,sort,head	List local subagent-related logs.
vshell-logs.sh	runs	read-only	no	bash,find,sort,head	List shell task logs.
vshell-tail.sh	runs	read-only	no	bash,find,sort,tail	Tail latest shell task log.
vshell-log-view.sh	runs	read-only	no	bash,sed	View one shell task log.
vmemories.sh	cms	redacted-output	no	bash,cms_recent	Recent CMS memories with redaction.
vmemory-search.sh	cms	redacted-output	no	bash,cms_recall	Search CMS memories with redaction.
vcms-artifacts.sh	cms	read-only	no	bash,find	Locate CMS-style artifacts.
vcms-context-size.sh	cms	read-only	no	bash,find,stat,sort	Estimate CMS artifact footprint.
vcms-query-summary.sh	cms	read-only	no	bash,rg|grep	Condensed view of CMS-related queries.
vcms-recent.sh	cms	redacted-output	no	bash,cms_recent,sed	Recent CMS items with redaction.
vcms-run.sh	cms	read-only	no	bash,find,sed	Inspect CMS artifacts in a run dir.
vcms-search.sh	cms	redacted-output	no	bash,cms_recall,sed	Search CMS memories with redaction.
vcms-source-audit.sh	cms	read-only	no	bash,find,sort	Audit CMS source artifact age/staleness.
vcms-thread-map.sh	cms	read-only	no	bash,find,sort	Timestamp-only map of CMS memory threads.
vhbse-secret-refs.sh	hbse	read-only	no	bash,rg|grep	Find secret-ref mentions without expanding values.
vhbse-env.sh	hbse	redacted-output	no	bash,printenv,awk	List sensitive env var names only, redacted.
vhbse-env-groups.sh	hbse	redacted-output	no	bash,printenv,awk	Grouped sensitive env var names only.
vhbse-files.sh	hbse	read-only	no	bash,find	List HBSE/secret-related files by name.
vhbse-manifest-files.sh	hbse	read-only	no	bash,find	List likely HBSE manifest/ref files.
vhbse-path-allowlist.sh	hbse	read-only	no	bash,find	Show likely HBSE-safe path areas.
vhbse-redaction-check.sh	hbse	read-only	no	bash,rg|grep	Find redaction-sensitive terms for logs/docs.
vhbse-ref-count.sh	hbse	read-only	no	bash,rg|grep,wc	Count HBSE/secret-ref mentions.
vhbse-search.sh	hbse	read-only	no	bash,rg|grep	Search for HBSE references in the workspace.
vhbse-secret-scan.sh	hbse	read-only	no	bash,find	Detect likely secret-bearing files by name/pattern.
vhbse-status-files.sh	hbse	read-only	no	bash,git,awk	Show git-status files likely related to HBSE/secrets.
vhbse-workspace-meta.sh	hbse	read-only	no	bash,git,rg|grep	Workspace metadata plus HBSE marker count.
vhbse-changed.sh	hbse	read-only	no	bash,git,awk	Changed files that mention HBSE/approval keywords.
vapprovals.sh	approvals	read-only	no	bash,find,sed	Inspect run approvals.
vapprovals-files.sh	approvals	read-only	no	bash,find	List approval-related files.
vapprovals-pending.sh	approvals	read-only	no	bash,rg|grep	Find pending approval markers.
vapprovals-stale.sh	approvals	read-only	no	bash,find,sort	Show approval artifacts by age.
vapprovals-linked-runs.sh	approvals	read-only	no	bash,find,sort	Link runs to approvals files.
vsecurity-files.sh	approvals	read-only	no	bash,find	Locate approval/auth/credential workflow files.
vworkflow-files.sh	approvals	read-only	no	bash,find	Locate workflow/automation-related files.
vskill-artifacts.sh	skills	read-only	no	bash,find	List skill-related artifacts.
vskill-bundles.sh	skills	read-only	no	bash,find	Show local skill bundles.
vskill-change-impact.sh	skills	read-only	no	bash,find	List potentially affected skill artifacts.
vskill-compat.sh	skills	read-only	no	bash,find	Check bundle/path compatibility basics.
vskill-deps.sh	skills	read-only	no	bash,rg|grep	Show dependency/requires hints in skills.
vskill-index.sh	skills	read-only	no	bash,find	List compiled skill/index artifacts.
vskill-list.sh	skills	read-only	no	bash,skiller_load	Surface skills in a bundle.
vskill-meta.sh	skills	read-only	no	bash,find,sed	Show skill/bundle metadata safely.
vskill-route.sh	skills	read-only	no	bash,skiller_route	Route a query against a bundle.
vworkspace-map.sh	workspace	read-only	no	bash,find,git	Workspace plus scripts plus run overview.
vworkspace-meta.sh	workspace	read-only	no	bash,git,find	Concise workspace metadata block.
vworkspace-health.sh	workspace	read-only	no	bash,git,find	Workspace hygiene summary.
vworkspace-hotspots.sh	workspace	read-only	no	bash,find,sort,head	Find run/memory/approval hotspots.
vartifact-sizes.sh	workspace	read-only	no	bash,find,stat,sort	Size summary of Vegvisir artifacts.
vcontext-budget.sh	workspace	read-only	no	bash,git,find,wc,awk	Estimate context size and rough token budget for files or changes.
vprecommit.sh	maintenance	runs-tests	yes	bash,git,vdoctor.sh,vsecret-scan.sh,vtest.sh	Run fast staged pre-commit checks and optional strict/project tests.
vrepro.sh	runs	writes-generated-artifacts	yes	bash,git,find,date	Create a bounded redacted reproduction evidence bundle.
vsecret-scan.sh	hbse	redacted-output	no	bash,git,grep	Scan files for likely plaintext secrets without printing values.
vtrace.sh	runs	redacted-output	no	bash,find,stat,sed,rg|grep	Summarize a Vegvisir run trace with bounded redacted excerpts.
